"Order ID "," Order Item ID "," Order YearMonth "," Order Year "," Order Month "," Order Day ","Order Time","Order Quantity","Product Department","Product Category","Product Name"," Customer ID ","Customer Market","Customer Region","Customer Country","Warehouse Country","Shipment Year","Shipment Month","Shipment Day","Shipment Mode"," Shipment Days - Scheduled "," Gross Sales "," Discount % "," Profit "
3535,8793,201502,2015,2,21,"14:07",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",7840,"LATAM","Central America","Mexico","Puerto Rico",2015,2,27,"Standard Class",4,400,"0.25",200
4133,10320,201503,2015,3,2,"07:37",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",1203,"LATAM","South America","Brazil","Puerto Rico",2015,3,6,"Standard Class",4,400,"0.09",200
7396,18517,201504,2015,4,18,"22:47",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",10866,"LATAM","Central America","Mexico","Puerto Rico",2015,4,20,"Standard Class",4,400,"0.06",200
11026,27608,201506,2015,6,10,"22:32",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",3576,"Europe","Northern Europe","Denmark","Puerto Rico",2015,6,12,"Standard Class",4,400,"0.15",200
11026,27609,201506,2015,6,10,"22:32",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",3576,"Europe","Northern Europe","Denmark","Puerto Rico",2015,6,12,"Standard Class",4,400,"0.13",200
11026,27607,201506,2015,6,10,"22:32",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",3576,"Europe","Northern Europe","Denmark","Puerto Rico",2015,6,12,"Standard Class",4,400,"0.16",200
19273,48192,201510,2015,10,9,"07:50",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",2447,"Europe","Western Europe","Netherlands","Puerto Rico",2015,10,13,"Standard Class",4,400,"0.06",200
19566,48912,201510,2015,10,13,"14:29",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",12088,"Europe","Western Europe","Germany","Puerto Rico",2015,10,15,"Standard Class",4,400,"0.12",200
21215,53077,201511,2015,11,6,"16:12",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",10471,"Pacific Asia","Eastern Asia","China","Puerto Rico",2015,11,12,"Standard Class",4,400,"0.04",200
21846,54626,201511,2015,11,15,"21:16",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",1588,"Pacific Asia","Southeast Asia","Indonesia","Puerto Rico",2015,11,17,"Standard Class",4,400,"0.02",200
21916,54821,201511,2015,11,16,"21:48",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",9607,"Pacific Asia","South Asia","Pakistan","Puerto Rico",2015,11,18,"Standard Class",4,400,"0.04",200
23578,58984,201512,2015,12,11,"04:04",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",1577,"Pacific Asia","Eastern Asia","China","Puerto Rico",2015,12,15,"Standard Class",4,400,"0.05",200
25301,63394,201601,2016,1,5,"07:43",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",2848,"Pacific Asia","South Asia","India","Puerto Rico",2016,1,7,"Standard Class",4,400,"0.05",200
27376,68564,201602,2016,2,4,"14:40",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",8986,"Pacific Asia","Eastern Asia","China","Puerto Rico",2016,2,6,"Standard Class",4,400,"0.01",200
27558,68986,201602,2016,2,7,"06:26",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",10308,"Pacific Asia","South Asia","India","Puerto Rico",2016,2,11,"Standard Class",4,400,"0.12",200
29685,74266,201603,2016,3,9,"07:37",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",10380,"Pacific Asia","Eastern Asia","China","Puerto Rico",2016,3,15,"Standard Class",4,400,"0.07",200
33816,84407,201605,2016,5,8,"14:54",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",1282,"North America","US Center","USA","Puerto Rico",2016,5,10,"Standard Class",4,400,"0.06",200
33816,84409,201605,2016,5,8,"14:54",1,"Fan Shop","Fishing","Field & Stream Sportsman 16 Gun Fire Safe",1282,"North America","US Center","USA","Puerto Rico",2016,5,10,"Standard Class",4,400,"0.05",200
